Event Name,Date,Location,Type,Region,Website
ZooTunes: Mother Mother/Cavetown,6/16/2024,Woodland Park Zoo,Music,Wallingford / Greenlake,https://visitseattle.org/events/zootunes-mother-mother-cavetown/
ZooTunes: Car Seat Headrest,6/20/2024,Woodland Park Zoo,Music,Wallingford / Greenlake,https://visitseattle.org/events/zootunes-car-seat-headrest/
Joshua Bell Plays Elements Concerto,6/20/2024 through 6/22/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/joshua-bell-plays-elements-concerto/
Festal: Seattle Iranian Festival,6/22/2024,Seattle Center,Festivals & Special Events,Queen Anne / Seattle Center,https://visitseattle.org/events/festal-seattle-iranian-festival/
Seattle Sounders FC vs. Minnesota United FC,6/22/2024,Lumen Field,Sports,Pioneer Square,https://visitseattle.org/events/seattle-sounders-fc-vs-minnesota-united-fc/
"Together Again, Again!",5/31/2024 through 6/23/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/together-again-again/
2024 KPMG Women’s PGA Championship,6/20/2024 through 6/23/2024,Sahalee Country Club,Sports,Bellevue / Eastside,https://visitseattle.org/events/2024-kpmg-womens-pga-championship/
Fremont Fair,6/22/2024 through 6/23/2024,Fremont Fair,Festivals & Special Events,Fremont/ Ballard,https://visitseattle.org/events/fremont-fair/
Lip Sync for Our Rights,6/22/2024 through 6/23/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/lip-sync-for-our-rights/
Seattle Storm vs. Connecticut Sun,6/23/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-storm-vs-connecticut-sun/
Seattle Storm vs. Indiana Fever,6/27/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-storm-vs-indiana-fever-2/
Company,6/23/2024 through 6/28/2024,The Paramount Theatre,Music,Downtown,https://visitseattle.org/events/company/
Seattle Storm vs. Dallas Wings,6/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-storm-vs-dallas-wings/
