Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
Luis Miguel,4/4/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/luis-miguel/,47.6219014,-122.353990491486,Weather forecast not found for specific date
Taylor Raven and Duke Kim in Recital,4/4/2024,Opera Center,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/taylor-raven-and-duke-kim-in-recital/,44.43358325,26.079138268508792,Weather API response code: 404
Arizona Zervas,4/5/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/arizona-zervas/,47.6523876,-122.3538541520202,Weather forecast not found for specific date
GARZA of Thievery Corporation,4/5/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/garza-of-thievery-corporation/,47.6523876,-122.3538541520202,Weather forecast not found for specific date
Jo Koy,4/5/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/jo-koy/,47.6219014,-122.353990491486,Weather forecast not found for specific date
R.A.P. Ferreira,4/5/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/r-a-p-ferreira/,41.7111625,-93.6318959,Weather forecast not found for specific date
The Veronicas,4/5/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/the-veronicas/,47.6085136,-122.3394726,Weather forecast not found for specific date
Weep Wave,4/5/2024,Sunset Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/weep-wave/,36.0254577,-114.9637699,Weather forecast not found for specific date
XAVI,4/5/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/xavi/,47.5880461,-122.333928,Weather forecast not found for specific date
Copland Appalachian Spring,4/4/2024 through 4/6/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/copland-appalachian-spring/,47.60811665,-122.33697040702705,Weather forecast not found for specific date
Asher Roth,4/6/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/asher-roth/,47.6523876,-122.3538541520202,Weather forecast not found for specific date
Peekaboo,4/6/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/peekaboo/,47.5880461,-122.333928,Weather forecast not found for specific date
Red Bull Lords of Floor,4/6/2024,WaMu Theater,Dance,Pioneer Square,https://visitseattle.org/events/red-bull-lords-of-floor/,47.593154,-122.3329041,Weather forecast not found for specific date
Seattle Sounders FC vs. CF Montreal,4/6/2024,Lumen Field,Sports,Pioneer Square,https://visitseattle.org/events/seattle-sounders-fc-vs-cf-montreal/,47.5953459,-122.33164431196111,Weather forecast not found for specific date
Sultan and Shepard,4/6/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/sultan-and-shepard/,47.6085136,-122.3394726,Weather forecast not found for specific date
Tom Segura,4/6/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center,https://visitseattle.org/events/tom-segura/,47.6219014,-122.353990491486,Weather forecast not found for specific date
La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024,National Nordic Museum,Museums,Fremont / Ballard,https://visitseattle.org/events/la-vaughn-belle-a-history-of-unruly-returns/,47.668285600000004,-122.39177691452363,Weather forecast not found for specific date
Beetlejuice,4/2/2024 through 4/7/2024,The Paramount Theatre,Theatre,Downtown,https://visitseattle.org/events/beetlejuice/,40.8697559,-73.42561952873208,Weather forecast not found for specific date
31 Nights,4/7/2024,High Dive,Music,Fremont / Ballard,https://visitseattle.org/events/31-nights/,41.7111625,-93.6318959,Weather forecast not found for specific date
Mom Jeans,4/7/2024,Showbox SoDo,Music,Pioneer Square,https://visitseattle.org/events/mom-jeans/,47.5880461,-122.333928,Weather forecast not found for specific date
Re + Re-TROS North America Tour,4/7/2024,The Showbox,Music,Downtown,https://visitseattle.org/events/re-re-tros-north-america-tour/,47.6085136,-122.3394726,Weather forecast not found for specific date
American Broke,4/9/2024,Sunset Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/american-broke/,36.0254577,-114.9637699,Weather forecast not found for specific date
Seattle Kraken vs. Arizona Coyotes,4/9/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-arizona-coyotes/,47.6219014,-122.353990491486,Weather forecast not found for specific date
